UpdateDegree,DegreeType
* ASSOCIATE OF ARTS *,Associate's
**ASSOCIATE OF ARTS,Associate's
*ASSOC IN ARTS & SCI W/HNRS,Associate's
*ASSOC IN ARTS & SCIENCES,Associate's
*ASSOCIATE IN ARTS,Associate's
*ASSOCIATE IN ARTS*,Associate's
*ASSOCIATE IN ARTS*      06/20,Associate's
*ASSOCIATE IN ARTS*      08/17,Associate's
*ASSOCIATE IN ARTS*      12/14,Associate's
*ASSOCIATE IN SCIENCE-TRANSFER,Associate's
*ASSOCIATE OF ARTS,Associate's
*ASSOCIATE OF ARTS - HONORS,Associate's
*ASSOCIATE OF ARTS*,Associate's
*ASSOCIATE OF ARTS*      06/20,Associate's
*ASSOCIATE OF ARTS*      12/14,Associate's
.AAS,Associate's
03-ASSOCIATE APPLIED SCIENCE,Associate's
03-ASSOCIATE ARTS IN TEACHING,Associate's
03-ASSOCIATE OF ARTS,Associate's
2-YEAR ASSOCIATE DEGREE,Associate's
A A,Associate's
A A S,Associate's
A A S   DATA PROCESSING,Associate's
A A S - ACCOUNTING,Associate's
A A S - AUTO MECH,Associate's
A A S - BAKING,Associate's
A A S - BODY & FENDER,Associate's
A A S - CARDIO-PULMONARY,Associate's
A A S - CARPENTRY,Associate's
A A S - COSMETOLOGY,Associate's
A A S - GEN BUS,Associate's
A A S - HOTEL-MOTEL,Associate's
A A S - PRINTING,Associate's
A A S - PRODUCTION AG,Associate's
A A S - WATER RESOURCES,Associate's
A A S COMPUTER TECH,Associate's
A S D H,Associate's
A S IN APPLIED BUSINESS STUDIES,Associate's
A S IN BUSINESS,Associate's
A S IN COMMERCIAL ART,Associate's
A S IN CRIMINAL JUSTICE,Associate's
A S IN DENTAL HYGIENE,Associate's
A S IN DENTAL LAB TECH,Associate's
A S IN LABOR STUDIES,Associate's
A S IN RADIOGRAPHY,Associate's
A. S.,Associate's
A. S. - DENTAL HYGIENE,Associate's
A. S. IN ACCOUNTING TECHNOLOGY,Associate's
A. S. IN APPLIED BUSINESS STUDIES,Associate's
A. S. IN AUDIO TECHNOLOGY,Associate's
A. S. IN BANKING & FINANCE,Associate's
A. S. IN BIOLOGICAL SCIENCES,Associate's
A. S. IN COSTUME CONSTRUCTION TECHNOLOGY,Associate's
A. S. IN DISTRIBUTION & MARKETING TECH,Associate's
A. S. IN EARLY CHILDHOOD DEVELOPMENT,Associate's
A. S. IN EARLY CHILDHOOD EDUCATION,Associate's
A. S. IN EDUCATION TECHNOLOGY,Associate's
A. S. IN ELECTRODIAGNOSTIC TECHNOLOGY,Associate's
A. S. IN FIRE SCIENCE TECHNOLOGY,Associate's
A. S. IN HAZARD CONTROL TECHNOLOGY,Associate's
A. S. IN HEALTH CARE MANAGEMENT,Associate's
A. S. IN HEALTH INFORMATION TECHNOLOGY,Associate's
A. S. IN HOSPITAL DIETARY TECHNOLOGY,Associate's
A. S. IN LABOR STUDIES,Associate's
A. S. IN MEDIA ARTS AND TECHNOLOGY,Associate's
A. S. IN MEDICAL LABORATORY TECHNOLOGY,Associate's
A. S. IN MEDICAL RECORD TECHNOLOGY,Associate's
A. S. IN NATURAL SCIENCES & MATHEMATICS,Associate's
A. S. IN OCCUPATIONAL THERAPY TECHNOLOGY,Associate's
A. S. IN OFFICE TECHNOLOGY,Associate's
A. S. IN OPERATIONS SUPERVISION TECH,Associate's
A. S. IN OPERATIONS SUPERVISION TECH.,Associate's
A. S. IN OPTOMETRIC TECHNOLOGY-OP TECH,Associate's
A. S. IN OPTOMETRIC TECHNOLOGY-OPT TECHNICIAN,Associate's
A. S. IN OPTOMETRIC TECHNOLOGY-OPTICIAN,Associate's
A. S. IN OPTOMETRIC TECHNOLOGY/OPTICIANRY,Associate's
A. S. IN PARAMEDIC SCIENCE,Associate's
A. S. IN PRE-ELEMENTARY EDUCATION,Associate's
A. S. IN RADIATION THERAPY,Associate's
A. S. IN RADIOLOGIC SCIENCES,Associate's
A. S. IN RECREATIONAL LEADERSHIP,Associate's
A. S. IN RESPIRATORY THERAPY,Associate's
A. S. IN STAGECRAFT TECHNOLOGY,Associate's
A. S. IN STRING INSTRUMENT TECHNOLOGY,Associate's
A. S. IN TRANSPORTATION & TRAFFIC TECH,Associate's
A. S. REGISTERED NURSING,Associate's
A. S. TEACHING,Associate's
A.A.,Associate's
A.A. - CORRECTIONS,Associate's
A.A. 05/03/97,Associate's
A.A. AIRCRAFT COMMERCIAL PILOT,Associate's
A.A. AND AGEC-A,Associate's
A.A. COMPUTER SCIENCE & INFORMATION PROCESSING,Associate's
A.A. DEGREE,Associate's
A.A. ELEMENTRY EDUCATION,Associate's
A.A. FIRE TECHNOLOGY,Associate's
A.A. GENERAL EDUCATION,Associate's
A.A. GENERAL SCIENCE,Associate's
A.A. GENERAL STUDIES,Associate's
"A.A. GENERAL STUDIES, ARTS & HUMANITIES",Associate's
"A.A. GENERAL STUDIES, SCIENCE & MATH",Associate's
"A.A. GENERAL STUDIES, SOCIAL & BEHAVIORAL",Associate's
A.A. GENERAL STUDIES: SCIENCE & MATH,Associate's
A.A. IN BUSINESS ADMIN,Associate's
A.A. IN BUSINESS ADMINIST,Associate's
A.A. IN BUSINESS ADMINISTRATION,Associate's
A.A. IN CRIMINAL JUSTICE,Associate's
A.A. IN GENERAL STUDIES,Associate's
A.A. IN LAW ENFORCEMENT,Associate's
A.A. IN LIBERAL ARTS,Associate's
A.A. IN LIBERAL STUDIES,Associate's
A.A. IN NURSING,Associate's
A.A. LIBERAL ARTS,Associate's
A.A. LIBERAL ARTS & SCIENCE,Associate's
A.A. LIBERAL ARTS & SCIENCES,Associate's
A.A. LIBERAL STUDIES,Associate's
A.A. LIFE SCIENCE,Associate's
A.A. MID MANAGEMENT,Associate's
A.A. MID-MANAGEMENT,Associate's
A.A. NURSING,Associate's
A.A. OFFICE SUPERVISION,Associate's
A.A. PARKS & REC MANAGEMENT,Associate's
A.A.-ACCOUNTING,Associate's
A.A.-BUSINESS ADMIN,Associate's
A.A.-CRIMINAL JUSTICE,Associate's
A.A.-EARLY CHILD DEV.,Associate's
A.A./A.A.S.,Associate's
A.A./B.A.,Associate's
A.A.A.,Associate's
A.A.A. DEGREE,Associate's
A.A.A.S IN DIETETIC TECHNOLOGY,Associate's
A.A.A.S. BUSINESS TECHNOLOGY,Associate's
A.A.A.S. COMPUTER APPLICATIONS,Associate's
A.A.B.,Associate's
A.A.S,Associate's
A.A.S IN COMPUTER NETWORK SYSTEMS,Associate's
A.A.S-OPT A#,Associate's
A.A.S.,Associate's
A.A.S. - BUSINESS TECHNOLOGY,Associate's
A.A.S. - BUSINESS TECHNOLOGY MANAGEMENT,Associate's
A.A.S. -LAW ENFORCEMENT,Associate's
A.A.S. AGRICULTURAL BUSINESS,Associate's
A.A.S. APPLIED SCIENCE,Associate's
A.A.S. AUTO MANAGEMENT,Associate's
A.A.S. BUS/SMALL BUSINES,Associate's
A.A.S. BUSINESS,Associate's
A.A.S. CMP AID DSGN DRFT,Associate's
A.A.S. COMPUTER NETWORKING TECHNICIAN,Associate's
A.A.S. DAIMLER CHRYSLER AUTOMOTIVE PROGRAM,Associate's
A.A.S. DOUBLE MAJOR,Associate's
A.A.S. EARLYCHILDHD TCHR ASST,Associate's
A.A.S. ERLY CHLD CR/EDU,Associate's
A.A.S. IN ACCOUNTING,Associate's
A.A.S. IN AUTO BODY,Associate's
A.A.S. IN AUTOMOTIVE,Associate's
A.A.S. IN AUTOMOTIVE TECHNOLOGY,Associate's
A.A.S. IN BUSINESS,Associate's
A.A.S. IN COMP AID DESGN,Associate's
A.A.S. IN DATA PROCESS,Associate's
A.A.S. IN DRAFTING,Associate's
A.A.S. IN EARLY CHILD DV,Associate's
A.A.S. IN ELECTRONICS,Associate's
A.A.S. IN HUMAN SERVICES,Associate's
A.A.S. IN HVY EQUIP MAIN,Associate's
A.A.S. IN INDUSTRIAL MAINTENANCE TECHNOLOGY,Associate's
A.A.S. IN INFO PROCESS,Associate's
A.A.S. IN MACHINE TOOL,Associate's
A.A.S. IN MANUFAC TECH,Associate's
A.A.S. IN MARKETING,Associate's
A.A.S. IN MECHANICAL ENGINEERING TECHNOLOGY,Associate's
A.A.S. IN MEDICAL OFFICE TECHNOLOGY,Associate's
A.A.S. IN NURSING,Associate's
A.A.S. IN SECRETARIAL,Associate's
A.A.S. IN WATER TECH,Associate's
A.A.S. INFOR PROC/SECR.,Associate's
A.A.S. MINING TECHNOLOGY,Associate's
A.A.S. NURSERY EDUCATION,Associate's
A.A.S. NURSING,Associate's
A.A.S. OFFICE SYSTEM/SEC,Associate's
A.A.S. TECHNICAL STUDIES,Associate's
A.A.S. TECHNOLOGY,Associate's
A.A.S.- OFFICE/ADM ASST,Associate's
A.A.S.-ACCT/COMP SPECIAL,Associate's
A.A.S.-ACCT/MICRO APPLIC,Associate's
A.A.S.-AUTOMATION TECH,Associate's
